Ticker,Company Name,Industry,Market Cap,1 Yr,3 Yr,5 Yr,Total Revenues,Gross Profit Margin,EBIT Margin,Net Income Margin,Net Debt/EBITDA,P/E,P/B,P/Revenue,ROIC,Dividend Yield
NYSE:ALL,The Allstate Corporation,Financials,35962.42,18.4,29.9,45.1,50588.0,27.6,13.8,3.2,0.9x,7.99,1.64,0.79,16.0,2.4
NYSE:BK,The Bank of New York Mellon Corporation,Financials,36792.9,-19.1,-1.0,-3.3,16162.0,,,23.3,,11.0,0.96,2.4,,2.9
NYSE:BA,The Boeing Company,Industrials,113528.84,-5.4,-41.2,-32.2,62286.0,8.6,-0.8,-6.7,26.5x,,,1.8,-1.0,
NYSE:SCHW,The Charles Schwab Corporation,Financials,155424.72,0.1,82.2,72.9,18520.0,96.8,,31.6,,29.42,3.4,8.48,,0.9
NYSE:CI,The Cigna Group,Health Care,101303.56,46.7,67.7,68.9,174274.0,13.3,4.8,3.1,2.9x,21.06,2.27,0.64,8.0,1.2
NYSE:CLX,The Clorox Company,Consumer Staples,17314.59,-17.0,-1.2,7.6,7080.0,37.7,10.2,3.5,3.2x,71.14,55.13,2.46,16.0,3.3
NYSE:KO,The Coca-Cola Company,Consumer Staples,275082.29,10.6,26.2,62.5,38655.0,60.3,29.6,25.3,2.5x,28.27,11.96,7.1,16.0,2.7
NYSE:COO,"The Cooper Companies, Inc.",Health Care,16320.01,-21.1,3.0,51.9,3029.2,66.8,18.7,31.0,3.7x,17.56,2.35,5.38,5.0,0.0
NYSE:EL,The Estée Lauder Companies Inc.,Consumer Staples,88528.71,-32.3,23.0,103.9,17731.0,76.3,19.7,18.4,0.8x,28.04,14.34,5.06,28.0,0.9
NYSE:GS,"The Goldman Sachs Group, Inc.",Financials,120206.13,-7.9,59.7,49.2,58982.0,89.3,,36.7,,5.78,1.21,2.04,,1.9
NYSE:HIG,"The Hartford Financial Services Group, Inc.",Financials,24121.44,12.3,34.5,51.7,22349.0,35.5,13.7,10.6,1.3x,11.45,1.45,1.18,4.0,1.9
